column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
4	width	C. briggsae Dauer	C. inopinata L3	20	20	0	6.44e-08	1.26e-07	****
4	width	C. briggsae Dauer	C. inopinata L4	20	20	0	6.31e-08	1.26e-07	****
4	width	C. briggsae Dauer	C. tropicalis Dauer	20	20	130	0.059	0.063	ns
4	width	C. elegans Adult	C. elegans Dauer	20	20	400	6.47e-08	1.26e-07	****
4	width	C. elegans Adult	C. elegans L1	20	20	400	5.03e-08	1.26e-07	****
4	width	C. elegans Adult	C. elegans L2	20	20	400	5.75e-08	1.26e-07	****
4	width	C. elegans Adult	C. elegans L3	20	20	400	6.16e-08	1.26e-07	****
4	width	C. elegans Adult	C. elegans L4	20	20	362	1.2e-05	1.63e-05	****
4	width	C. elegans Adult	C. inopinata Adult	20	20	69.5	0.000428	0.000519	***
4	width	C. elegans Adult	C. inopinata Dauer	20	20	400	6.44e-08	1.26e-07	****
4	width	C. elegans Adult	C. inopinata L1	20	20	400	6e-08	1.26e-07	****
4	width	C. elegans Adult	C. inopinata L2	20	20	400	6.48e-08	1.26e-07	****
4	width	C. elegans Adult	C. inopinata L3	20	20	400	6.45e-08	1.26e-07	****
4	width	C. elegans Adult	C. inopinata L4	20	20	343	0.000111	0.000142	***
4	width	C. elegans Adult	C. tropicalis Dauer	20	20	400	6.2e-08	1.26e-07	****
4	width	C. elegans Dauer	C. elegans L1	20	20	253	0.147	0.152	ns
4	width	C. elegans Dauer	C. elegans L2	20	20	23	1.51e-06	2.22e-06	****
4	width	C. elegans Dauer	C. elegans L3	20	20	0	6.28e-08	1.26e-07	****
4	width	C. elegans Dauer	C. elegans L4	20	20	0	6.53e-08	1.26e-07	****
4	width	C. elegans Dauer	C. inopinata Adult	20	20	0	6.66e-08	1.26e-07	****
4	width	C. elegans Dauer	C. inopinata Dauer	20	20	17	7.62e-07	1.16e-06	****
4	width	C. elegans Dauer	C. inopinata L1	20	20	201.5	0.978	0.978	ns
4	width	C. elegans Dauer	C. inopinata L2	20	20	63	0.000214	0.000267	***
